"id","1131BAT","1177BAT","1187BAT","1198BAT","1199BAT","1200BAT","1201BAT","1211BAT","1212BAT"
"ENSMUSG00000102628",0,0,0,0,0,0,0,0,0
"ENSMUSG00000100595",0,0,0,0,0,0,0,0,0
"ENSMUSG00000097426",0,3,0,0,0,0,0,0,0
"ENSMUSG00000104478",0,0,0,0,0,0,0,0,0
"ENSMUSG00000104385",0,0,0,0,0,0,0,0,0
"ENSMUSG00000086053",0,0,0,0,0,0,0,0,0
"ENSMUSG00000101231",0,0,0,0,0,0,0,0,0
"ENSMUSG00000102135",0,0,0,0,0,0,0,0,0
"ENSMUSG00000103282",0,0,0,0,0,0,0,0,0
"ENSMUSG00000101097",0,0,0,0,0,0,0,0,0
"ENSMUSG00000100764",1,0,0,0,0,1,1,0,0
"ENSMUSG00000102095",0,3,0,0,0,0,0,0,0
"ENSMUSG00000102534",0,0,0,0,0,0,0,0,0
"ENSMUSG00000100831",0,0,0,0,0,0,0,0,0
"ENSMUSG00000100884",0,0,0,0,0,0,0,0,0
"ENSMUSG00000100635",0,0,0,0,0,0,0,0,0
"ENSMUSG00000102213",0,0,0,0,0,0,0,0,0
"ENSMUSG00000100480",5,1,0,0,7,0,10,1,1
"ENSMUSG00000114212",0,0,0,0,0,0,0,0,0
"ENSMUSG00000089037",0,0,0,0,0,0,0,0,0
"ENSMUSG00000103629",0,0,0,0,0,0,0,0,0
"ENSMUSG00000114943",0,0,0,0,0,0,0,0,0
"ENSMUSG00002076531",0,0,0,0,0,0,0,0,0
"ENSMUSG00000100025",0,0,0,0,0,0,0,0,0
"ENSMUSG00000114694",0,0,0,0,0,0,0,0,0
"ENSMUSG00000114582",0,0,0,0,0,0,0,0,0
"ENSMUSG00000114591",0,0,0,0,0,0,0,0,0
"ENSMUSG00002076687",0,0,0,0,0,0,0,0,0
"ENSMUSG00000100954",29,24,19,20,31,17,34,35,44
"ENSMUSG00000051285",1899,1581,1360,1867,1913,1238,1681,2369,1718
"ENSMUSG00000098201",0,0,0,0,0,0,0,0,0
"ENSMUSG00000103509",4,17,24,28,10,13,13,13,13
"ENSMUSG00000048538",1,0,0,0,0,1,0,1,0
"ENSMUSG00000103709",0,0,0,0,0,0,0,0,0
"ENSMUSG00000077244",0,0,0,0,0,0,0,0,0
"ENSMUSG00000102768",0,0,0,0,0,0,0,0,0
"ENSMUSG00000097797",2,1,3,1,2,1,0,0,0
"ENSMUSG00000103498",0,0,0,0,0,0,0,0,0
"ENSMUSG00000103067",0,0,0,0,0,0,0,0,0
"ENSMUSG00000102320",0,0,0,0,0,0,0,0,0
"ENSMUSG00000104226",0,0,0,0,0,0,0,0,0
"ENSMUSG00000103903",0,0,0,0,0,0,0,0,0
